"host","parasite","ParType"
"Arctocephalus_gazella","Gemella haemolysans","Bacteria"
"Arctocephalus_gazella","Gemella morbillorum","Bacteria"
"Arctocephalus_gazella","Kingella kingae","Bacteria"
"Arctocephalus_gazella","Moraxella atlantae","Bacteria"
"Arctocephalus_gazella","Moraxella catarrhalis","Bacteria"
"Arctocephalus_gazella","Moraxella osloensis","Bacteria"
"Arctocephalus_gazella","Moraxella phenylpyruvicus","Bacteria"
"Arctocephalus_gazella","Neisseria elongata","Bacteria"
"Arctocephalus_gazella","Neisseria pharyngis","Bacteria"
"Arctocephalus_gazella","Nocardia asteroides","Bacteria"
"Arctocephalus_gazella","Photobacterium damselae","Bacteria"
"Arctocephalus_gazella","Pseudomonas alcaligenes","Bacteria"
"Arctocephalus_gazella","Staphylococcus albus","Bacteria"
"Arctocephalus_gazella","Staphylococcus aureus","Bacteria"
"Arctocephalus_gazella","Streptococcus agalactiae","Bacteria"
"Arctocephalus_gazella","Streptococcus equi","Bacteria"
"Arctocephalus_gazella","Streptococcus equinus","Bacteria"
"Arctocephalus_gazella","Streptococcus uberis","Bacteria"
"Arctocephalus_pusillus","Anisakis physeteris","Helminth"
"Arctocephalus_pusillus","Anisakis simplex","Helminth"
"Arctocephalus_pusillus","Contracaecum ogmorhini","Helminth"
"Arctocephalus_pusillus","Edwardsiella tarda","Bacteria"
"Arctocephalus_pusillus","Hepatoxylon trichiuri","Helminth"
"Arctocephalus_pusillus","Mycobacterium tuberculosis","Bacteria"
"Arctocephalus_pusillus","Parafilaroides normani","Helminth"
"Arctocephalus_pusillus","Phyllobothrium delphini","Helminth"
"Arctocephalus_pusillus","Streptococcus canis","Bacteria"
"Arctocephalus_pusillus","Streptococcus equi","Bacteria"
"Arctocephalus_pusillus","Streptococcus phocae","Bacteria"
"Arctocephalus_tropicalis","Anisakis simplex","Helminth"
"Arctocephalus_tropicalis","Contracaecum osculatum","Helminth"
"Arctocephalus_tropicalis","Lepas australis","Arthropod"
"Arctocephalus_tropicalis","Monorygma grimaldii","Helminth"
"Arctocephalus_tropicalis","Mycobacterium tuberculosis","Bacteria"
"Arctocephalus_tropicalis","Orthohalarachne diminuata","Arthropod"
"Arctocephalus_tropicalis","Parafilaroides normani","Helminth"
"Arctocephalus_tropicalis","Phyllobothrium delphini","Helminth"
"Ateles_belzebuth","Trypanosoma cruzi","Protozoa"
"Ateles_chamek","Blastocystis hominis","Protozoa"
"Ateles_chamek","Chilomastix mesnili","Protozoa"
"Ateles_chamek","Dipetalonema yatesi","Helminth"
"Ateles_chamek","Iodamoeba butschlii","Protozoa"
"Ateles_chamek","Trichuris trichiura","Helminth"
"Ateles_fusciceps","Ascaris lumbricoides","Helminth"
"Ateles_fusciceps","Dipetalonema gracile","Helminth"
"Ateles_fusciceps","Mansonella atelensis","Helminth"
"Ateles_fusciceps","Mansonella marmosetae","Helminth"
"Ateles_fusciceps","Necator americanus","Helminth"
"Ateles_fusciceps","Plasmodium brasilianum","Protozoa"
"Ateles_fusciceps","Protospirura muricola","Helminth"
"Ateles_fusciceps","Trypanosoma cruzi","Protozoa"
"Ateles_fusciceps","Trypanosoma minasense","Protozoa"
"Ateles_geoffroyi","Dipetalonema gracile","Helminth"
"Ateles_geoffroyi","Yellow fever virus","Virus"
"Ateles_geoffroyi","Mansonella atelensis","Helminth"
"Ateles_geoffroyi","Mansonella marmosetae","Helminth"
"Ateles_geoffroyi","Plasmodium brasilianum","Protozoa"
"Ateles_geoffroyi","Strongyloides fuelleborni","Helminth"
"Ateles_geoffroyi","Trypanosoma cruzi","Protozoa"
"Ateles_geoffroyi","Trypanosoma minasense","Protozoa"
"Ateles_geoffroyi","Trypanoxyuris atelophora","Helminth"
