Order	Family	Genus	Species	Island_endemicity_Strict_definition	Island_endemicity_Classical_definition	Extinct_or_extant										
CHIROPTERA	PTEROPODIDAE	Eidolon	dupreanum	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
PROBOSCIDEA	ELEPHANTIDAE	Elephas	cypriotes	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extinct										
PROBOSCIDEA	ELEPHANTIDAE	Elephas	tiliensis	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extinct										
RODENTIA	GLIRIDAE	Eliomys	morpheus	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extinct										
RODENTIA	NESOMYIDAE	Eliurus	antsingy	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	NESOMYIDAE	Eliurus	carletoni	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	NESOMYIDAE	Eliurus	danieli	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	NESOMYIDAE	Eliurus	ellermani	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	NESOMYIDAE	Eliurus	grandidieri	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	NESOMYIDAE	Eliurus	majori	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	NESOMYIDAE	Eliurus	minor	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	NESOMYIDAE	Eliurus	myoxinus	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	NESOMYIDAE	Eliurus	penicillatus	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	NESOMYIDAE	Eliurus	petteri	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	NESOMYIDAE	Eliurus	tanala	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	NESOMYIDAE	Eliurus	webbi	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
CHIROPTERA	EMBALLONURIDAE	Emballonura	semicaudata	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
CHIROPTERA	PTEROPODIDAE	Eonycteris	robusta	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
CHIROPTERA	VESPERTILIONIDAE	Eptesicus	guadeloupensis	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
CHIROPTERA	VESPERTILIONIDAE	Eptesicus	japonensis	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Eropeplus	canus	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
